Time;temp.mean;dewpoint.mean
2017-08-04T14:43:40-04:00;null;null
2017-08-04T14:43:45-04:00;null;null
2017-08-04T14:43:50-04:00;null;null
2017-08-04T14:43:55-04:00;null;null
2017-08-04T14:44:00-04:00;null;null
2017-08-04T14:44:05-04:00;null;null
2017-08-04T14:44:10-04:00;null;null
2017-08-04T14:44:15-04:00;null;null
2017-08-04T14:44:20-04:00;null;null
2017-08-04T14:44:25-04:00;null;null
2017-08-04T14:44:30-04:00;null;null
2017-08-04T14:44:35-04:00;null;null
2017-08-04T14:44:40-04:00;null;null
2017-08-04T14:44:45-04:00;null;null
2017-08-04T14:44:50-04:00;null;null
2017-08-04T14:44:55-04:00;null;null
2017-08-04T14:45:00-04:00;null;null
2017-08-04T14:45:05-04:00;null;null
2017-08-04T14:45:10-04:00;null;null
2017-08-04T14:45:15-04:00;null;null
2017-08-04T14:45:20-04:00;null;null
2017-08-04T14:45:25-04:00;null;null
2017-08-04T14:45:30-04:00;null;null
2017-08-04T14:45:35-04:00;null;null
2017-08-04T14:45:40-04:00;null;null
2017-08-04T14:45:45-04:00;null;null
2017-08-04T14:45:50-04:00;null;null
2017-08-04T14:45:55-04:00;null;null
2017-08-04T14:46:00-04:00;null;null
2017-08-04T14:46:05-04:00;null;null
2017-08-04T14:46:10-04:00;null;null
2017-08-04T14:46:15-04:00;null;null
2017-08-04T14:46:20-04:00;null;null
2017-08-04T14:46:25-04:00;null;null
2017-08-04T14:46:30-04:00;null;null
2017-08-04T14:46:35-04:00;null;null
2017-08-04T14:46:40-04:00;null;null
2017-08-04T14:46:45-04:00;null;null
2017-08-04T14:46:50-04:00;null;null
2017-08-04T14:46:55-04:00;null;null
2017-08-04T14:47:00-04:00;null;null
2017-08-04T14:47:05-04:00;null;null
2017-08-04T14:47:10-04:00;null;null
2017-08-04T14:47:15-04:00;null;null
2017-08-04T14:47:20-04:00;null;null
2017-08-04T14:47:25-04:00;null;null
2017-08-04T14:47:30-04:00;null;null
2017-08-04T14:47:35-04:00;null;null
2017-08-04T14:47:40-04:00;null;null
2017-08-04T14:47:45-04:00;null;null
2017-08-04T14:47:50-04:00;null;null
2017-08-04T14:47:55-04:00;null;null
2017-08-04T14:48:00-04:00;null;null
2017-08-04T14:48:05-04:00;null;null
2017-08-04T14:48:10-04:00;null;null
2017-08-04T14:48:15-04:00;null;null
2017-08-04T14:48:20-04:00;null;null
2017-08-04T14:48:25-04:00;null;null
2017-08-04T14:48:30-04:00;null;null
